Amostra,0,2,4,5,10,100,1000,
1000,1490100,2044500,1028500,706700,995600,7121900,71704700,757585900,
100,28300,2703800,9052500,3862000,815100,6321000,55973400,772376700,
10,1500,903800,1750200,1492000,2005200,14851000,83404100,1002810000,
