Amostra,0,2,4,5,10,100,1000,
1000,4297600,5335500,124500,140200,91300,127300,37300,41300,
100,73200,29500,19900,16100,37300,25000,14800,17600,
10,2900,30100,25300,58400,30500,15300,15500,30200,
