Amostra,0,2,4,5,10,100,1000,
1000,45100,863800,610700,5280600,8263000,10943500,63444400,810211800,
100,11400,1479000,3476000,7019400,8997700,7291000,66257200,922356800,
10,3700,620900,885600,1318600,1964200,14581300,157074300,1320337600,
