Amostra,0,2,4,5,10,100,1000,
1000,3058800,3554100,205300,175800,75500,75600,74800,31800,
100,60400,41100,15800,14600,14400,15200,15500,16600,
10,2500,27600,93700,32900,18400,16900,15600,29300,
