Amostra,0,2,4,5,10,100,1000,
1000,2500900,2946700,900600,732800,1266100,9606500,78277700,908177600,
100,123300,2207600,3155400,10943800,2080900,7396400,62260300,922483100,
10,5700,954200,833100,3836800,2619600,18781100,54307900,751034700,
