Amostra,0,2,4,5,10,100,1000,
1000,3541200,3677900,140300,112300,91300,104100,87700,94300,
100,77600,29200,84700,29100,21600,24200,40300,127300,
10,3200,24600,27000,20400,16700,17300,15400,16000,
