Amostra,0,2,4,5,10,100,1000,
1000,2824000,2910500,76900,56100,50400,48400,48100,47800,
100,40500,18000,20200,19500,18900,13800,18000,18000,
10,7000,22800,37000,16600,19500,16300,17100,16300,
