Amostra,0,2,4,5,10,100,1000,
1000,2297900,2759500,138200,331300,151700,149800,36300,37700,
100,57000,24900,62300,15500,138400,14900,15500,156100,
10,6800,345400,202100,517700,51800,21200,17200,15600,
