Amostra,0,2,4,5,10,100,1000,
1000,1379300,1475000,105100,49500,37100,57300,36700,34400,
100,28100,38700,11500,8800,5700,122100,13200,9400,
10,1100,14200,9300,8400,7900,7500,7600,26900,
