Amostra,0,2,4,5,10,100,1000,
1000,4493600,3215600,107800,156800,144700,143000,34200,54000,
100,66600,26800,17700,15700,14900,14000,13100,14600,
10,2600,150200,21600,18800,14400,16200,13900,13400,
