Amostra,0,2,4,5,10,100,1000,
1000,34700,883000,960800,741500,6092600,12026500,52192900,849319400,
100,9200,745700,5561200,5280900,7253400,12258400,71980000,757777000,
10,7300,899500,1161700,1022500,2107200,12789800,101416800,990922700,
