Amostra,0,2,4,5,10,100,1000,
1000,2623300,2572100,116600,93600,97500,96500,93100,42100,
100,49200,21900,23100,20400,20200,13700,18300,59100,
10,2400,30200,22600,19000,19300,19100,12600,11200,
