Amostra,0,2,4,5,10,100,1000,
1000,2359301,6546899,76500,55600,50501,47401,50400,75600,
100,44699,27000,17100,16501,11101,9301,15400,15199,
10,2301,27099,19300,39300,18300,20401,18001,10900,
