Amostra,0,2,4,5,10,100,1000,
1000,2388100,2454900,75700,65500,56500,50500,56200,59700,
100,67500,22000,16600,16600,11000,9700,13700,14700,
10,2300,39500,19500,15700,13500,15300,157000,20800,
