Amostra,0,2,4,5,10,100,1000,
1000,3431800,4868500,153100,94400,97200,76800,74600,35500,
100,54200,23100,24100,15300,14600,13000,18100,57700,
10,3100,59500,46200,20000,15100,14700,19700,140600,
